mu,V0,prob_success
100,1.5160447,0.10079333333333333
500,1.7954168,0.50628
1000,1.8558729,0.6650166666666667
3000,1.9591396,0.8437033333333334
5000,1.997955,0.8874066666666667
10000,2.047431,0.9415666666666667
20000,2.151742,0.96732
