mu,V0,prob_success
1,0.017290147,0.12223333333333333
10,0.18997341,0.16146666666666668
100,1.2188995,0.30746666666666667
1000,1.6996195,0.8242666666666667
3000,1.8789058,0.9236666666666666
5000,1.9924202,0.9583666666666667
6000,1.9977144,0.9594
7500,2.025704,0.9656666666666667
